D.O.B.,Date Joined,User_ID,Password (Not Hashed Yet),Email,Username,Last_Name,First_Name,Rep_Score,Status
2/27/85,7/14/18,149874,MpxyBJmH,jkegl@outlook.com,hydrusdenote,Oliver,Helen,13,OU
8/1/85,8/19/18,978581,yBbYvNKD,vsprintf@live.com,overvaluehappiness,Caldwell,Jasmine,55,VIP
7/11/86,12/3/18,129349,ZEzjShwR,hikoza@optonline.net,anodisinggoatskin,Stuart,Phoebe,24,OU
8/31/87,12/13/18,513589,P56CPLLb,syncnine@outlook.com,cityyet,Ferguson,Aysha,20,OU
4/23/90,1/5/19,489889,XCSaM76Q,nelson@outlook.com,scoringironclad,Hubbard,Madeleine,28,OU
10/25/90,10/3/19,20444,jGX7tNgA,torgox@verizon.net,volumniagrip,Porter,Christina,34,ViP
12/5/90,10/29/19,723800,F5TwzwjD,parasite@gmail.com,ringwormstrongman,Woods,Melissa,40,VIP
8/31/94,3/19/20,294453,qrybXqUZ,matloff@mac.com,ajarupstairs,Morgan,Marie,37,SU
11/24/94,8/9/20,129213,k9jn6MrV,jespley@gmail.com,drinkinginstagram,Lawson,Tamara,17,OU
9/24/02,10/12/20,119826,PqXZLgP5,hahsler@msn.com,brogaigneighborly,Carpenter,Freya,25,OU
